treatment,nobs,min,max,average,sd,median,var
Areaundersolar,99,0.5,60,7.462121212121212,7.724890498230217,6,59.673933209647494
x.area,99,0,80,13.048737373737374,14.150828549756703,9.5,200.24594864460937
x.ci,99,0,388.235294,167.14487992929293,95.9311701195752,160,9202.789400510877
x.crop,99,0,8,2.696969696969697,1.373618381595132,3,1.8868274582560296
x.income,99,0,42000,3950.5878787878787,8608.238631982602,0,74101772.3451577
x.kg,99,0,5150,1066.0523737373737,1114.3788706900725,585.6,1241840.2674404813
y.area,99,1,110,14.790909090909091,15.644406093625397,10.5,244.74744202226347
y.ci,99,62.5,380.294118,197.06637483838384,65.44086434766658,200,4282.506726569699
y.crop,99,1,14,7.1313131313131315,3.996545612090482,7,15.972376829519687
y.income,99,0,200000,22017.251616161615,34730.546088202806,7680,1206210831.584779
y.kg,99,0,11700,2066.258383838384,2013.306845306136,1499,4053404.453356545
