District,Site,treatment,nobs,min,max,average,sd,median,var
Bardiya,Bhaisasur,Areaundersolar,8,1,22,11.125,7.31803057034961,11,53.55357142857143
Bardiya,Bhaisasur,x.area,8,1.05,62.25,21.4125,19.496625165836853,19.375,380.11839285714285
Bardiya,Bhaisasur,x.ci,8,85,366.176471,172.71023525,87.25211460364261,157.125,7612.931502807183
Bardiya,Bhaisasur,x.crop,8,0,8,3.375,2.326094212561969,3.5,5.410714285714286
Bardiya,Bhaisasur,x.income,8,0,32000,10208.125,9990.582686245796,7132.5,99811742.41071428
Bardiya,Bhaisasur,x.kg,8,355,4685,1972.75,1656.8064590823947,1328.5,2745007.6428571427
Bardiya,Bhaisasur,y.area,8,1.925,64.65,24.684375,20.03707696059982,19.7,401.4844531250001
Bardiya,Bhaisasur,y.ci,8,156.25,380.294118,215.825861125,72.22759593493281,199.107143,5216.825614539922
Bardiya,Bhaisasur,y.crop,8,2,12,8.375,3.6620642110310255,9,13.410714285714286
Bardiya,Bhaisasur,y.income,8,0,148670,51018.125,51440.27271211175,35925,2646101656.696429
Bardiya,Bhaisasur,y.kg,8,615,7165,3298.75,2226.4894693536858,2880,4957255.357142857
Mahottari,Jhapool,Areaundersolar,7,10,25,16.428571428571427,6.579187965525403,18,43.285714285714285
Mahottari,Jhapool,x.area,7,0,30,9.25,12.373526848343065,0,153.10416666666666
Mahottari,Jhapool,x.ci,7,0,120,44.72222214285714,56.95031579713149,0,3243.3384693930043
Mahottari,Jhapool,x.crop,7,2,6,3.4285714285714284,1.2724180205607036,3,1.619047619047619
Mahottari,Jhapool,x.income,7,0,0,0,0,0,0
Mahottari,Jhapool,x.kg,7,0,4700,1700,1542.5519980430697,1320,2379466.6666666665
Mahottari,Jhapool,y.area,7,7.05,41,23.79642857142857,12.498436807019013,22.15,156.21092261904764
Mahottari,Jhapool,y.ci,7,70.5,203.5,141.06269842857142,41.79534625351529,133.75,1746.8509684512348
Mahottari,Jhapool,y.crop,7,5,13,8.714285714285714,2.627691364061218,9,6.904761904761905
Mahottari,Jhapool,y.income,7,11000,131800,57178.57142857143,38092.97679300452,49800,1451074880.952381
Mahottari,Jhapool,y.kg,7,4080,8760,6213.571428571428,1624.8043838303386,5700,2639989.285714286
Mahottari,Laxminiya Chauri,Areaundersolar,14,1,60,11.785714285714286,14.640190054612162,10,214.33516483516485
Mahottari,Laxminiya Chauri,x.area,14,0.05,80,20.71785714285714,19.554240216371497,20,382.36831043956045
Mahottari,Laxminiya Chauri,x.ci,14,5,285.714286,184.57482992857143,60.81831778029464,200,3698.8677776249037
Mahottari,Laxminiya Chauri,x.crop,14,0,4,2,1.1094003924504583,2,1.2307692307692308
Mahottari,Laxminiya Chauri,x.income,14,0,0,0,0,0,0
Mahottari,Laxminiya Chauri,x.kg,14,135,5150,1385.357142857143,1343.7783475159686,1200,1805740.2472527472
Mahottari,Laxminiya Chauri,y.area,14,1.35,110,22.95357142857143,26.75485911500444,20,715.8224862637362
Mahottari,Laxminiya Chauri,y.ci,14,135,285.714286,197.4319727857143,32.05450876788129,200,1027.4915323501784
Mahottari,Laxminiya Chauri,y.crop,14,1,14,6.714285714285714,4.874242685611967,5.5,23.75824175824176
Mahottari,Laxminiya Chauri,y.income,14,0,70800,13542.857142857143,23625.20538895545,0,558150329.6703297
Mahottari,Laxminiya Chauri,y.kg,14,400,11700,2607.8571428571427,2804.9960333755816,2200,7868002.747252747
Mahottari,Rajabas,Areaundersolar,22,0.5,10,2.7954545454545454,2.79203412326113,1.75,7.795454545454546
Mahottari,Rajabas,x.area,22,0,8,2.128409090909091,2.3054838281406753,1.1,5.315255681818182
Mahottari,Rajabas,x.ci,22,0,143.75,83.04671722727272,44.77083477119304,102.5,2004.4276461094678
Mahottari,Rajabas,x.crop,22,1,7,2.727272727272727,1.2792042981336627,2,1.6363636363636365
Mahottari,Rajabas,x.income,22,0,6300,286.3636363636364,1343.1645130403458,0,1804090.9090909092
Mahottari,Rajabas,x.kg,22,135,807,340.6818181818182,200.07769594731047,292.5,40031.08441558442
Mahottari,Rajabas,y.area,22,1.125,10.5,4.0181818181818185,3.0313754325366915,2.375,9.189237012987013
Mahottari,Rajabas,y.ci,22,85.5,295,175.9065656818182,65.40653498541181,162.5,4278.014818797899
Mahottari,Rajabas,y.crop,22,1,14,7.7272727272727275,4.366341153063405,6.5,19.064935064935064
Mahottari,Rajabas,y.income,22,0,200000,14915,42268.80519788965,1750,1786651892.857143
Mahottari,Rajabas,y.kg,22,313,2965,1074.2272727272727,615.7073308935157,885,379095.5173160173
Nawalpur,Harbasi,Areaundersolar,9,5,14,7.388888888888889,2.9556913084947,6,8.73611111111111
Nawalpur,Harbasi,x.area,9,6,19,11.88888888888889,5.759653731875825,11,33.173611111111114
Nawalpur,Harbasi,x.ci,9,100,211.111111,157.17813044444443,40.251303074256185,140,1620.1673991756252
Nawalpur,Harbasi,x.crop,9,2,4,2.888888888888889,0.7817359599705717,3,0.6111111111111112
Nawalpur,Harbasi,x.income,9,0,42000,14952.8,16426.851510864766,5075.2,269841450.56
Nawalpur,Harbasi,x.kg,9,585.6,2737.7,1558.1027777777779,827.2947372351309,1073.6,684416.5822569444
Nawalpur,Harbasi,y.area,9,6.5,24.2,15.033333333333333,6.944557221306481,14,48.226875
Nawalpur,Harbasi,y.ci,9,130,322,201.03439144444445,62.161884860956945,213.333333,3864.0999294668686
Nawalpur,Harbasi,y.crop,9,4,14,8.777777777777779,4.0858835573770875,7,16.694444444444443
Nawalpur,Harbasi,y.income,9,0,50800,15896.666666666666,18400.111412706174,8000,338564100
Nawalpur,Harbasi,y.kg,9,976,2982.78,1826.2422222222222,754.1896077376329,1666.85,568801.9644194444
Nawalpur,Hardiya,Areaundersolar,18,0.5,6,3.5,1.823054966742557,3,3.323529411764706
Nawalpur,Hardiya,x.area,18,0,21,7.5,5.820855000871991,7,33.88235294117647
Nawalpur,Hardiya,x.ci,18,0,350,186.32275133333334,90.43767507333574,200,8178.973072670254
Nawalpur,Hardiya,x.crop,18,0,4,2.4444444444444446,0.9835244081556433,2.5,0.9673202614379085
Nawalpur,Hardiya,x.income,18,0,21000,4166.666666666667,7508.81834519763,0,56382352.941176474
Nawalpur,Hardiya,x.kg,18,0,513.4,198.22,174.85894254579972,160.2,30575.649788235292
Nawalpur,Hardiya,y.area,18,1,15.95,6.061111111111111,4.309481869892029,4.925,18.571633986928102
Nawalpur,Hardiya,y.ci,18,62.5,319,169.45502644444446,61.54336980794367,182.5,3787.586367317312
Nawalpur,Hardiya,y.crop,18,1,12,4.888888888888889,3.692422907537079,3,13.633986928104575
Nawalpur,Hardiya,y.income,18,0,50000,10877.5,11262.26889819694,7545,126838700.73529412
Nawalpur,Hardiya,y.kg,18,0,2271.2,469.65277777777777,504.79910519876825,413.425,254822.13660947708
Nawalpur,Kuleni,Areaundersolar,21,2,20,8.511904761904763,4.584263974781141,8,21.01547619047619
Nawalpur,Kuleni,x.area,21,6.5,60,22.70952380952381,13.204124535988925,18,174.34890476190475
Nawalpur,Kuleni,x.ci,21,130,388.235294,270.14845619047617,67.68114076217255,300,4580.736814869014
Nawalpur,Kuleni,x.crop,21,1,8,2.761904761904762,1.5781242633190171,2,2.4904761904761905
Nawalpur,Kuleni,x.income,21,0,27700,4455.619047619048,8295.032431981146,0,68807563.04761904
Nawalpur,Kuleni,x.kg,21,355.2,3260.8,1589.347619047619,837.2306083863917,1527,700955.0916190476
Nawalpur,Kuleni,y.area,21,6.5,46.55,21.242857142857144,12.153664938139912,16.95,147.71157142857143
Nawalpur,Kuleni,y.ci,21,142,342,252.47777466666668,55.32785337069159,238.5,3061.171358608749
Nawalpur,Kuleni,y.crop,21,2,13,7,3.1622776601683795,6,10
Nawalpur,Kuleni,y.income,21,0,122493.31,24510.376666666667,32511.487814568456,11050,1056996839.9168333
Nawalpur,Kuleni,y.kg,21,959,4669.05,2363.888095238095,1024.474720027874,2371.6,1049548.4519761906
